style,year,week_in_year,rating
oversized blazer,0,33,4.0
oversized blazer,0,3,4.0
oversized blazer,0,1,4.0
oversized blazer,0,44,3.0
oversized blazer,0,29,3.0
oversized blazer,0,11,5.0
oversized blazer,0,39,4.0
oversized blazer,0,13,4.0
oversized blazer,0,20,4.0
oversized blazer,0,21,4.0
oversized blazer,0,50,4.0
oversized blazer,0,47,4.0
oversized blazer,0,13,4.0
oversized blazer,0,13,4.0
oversized blazer,0,20,4.0
oversized blazer,0,1,3.0
oversized blazer,0,15,5.0
oversized blazer,0,50,3.0
oversized blazer,0,44,4.0
oversized blazer,0,26,4.0
oversized blazer,0,23,4.0
oversized blazer,0,50,3.0
oversized blazer,0,29,4.0
oversized blazer,0,50,4.0
oversized blazer,0,52,4.0
oversized blazer,0,2,4.0
oversized blazer,0,6,4.0
oversized blazer,0,39,4.0
oversized blazer,0,6,5.0
oversized blazer,0,16,5.0
oversized blazer,0,14,3.0
oversized blazer,0,27,4.0
oversized blazer,0,3,4.0
oversized blazer,0,21,4.0
oversized blazer,0,27,5.0
oversized blazer,0,6,4.0
oversized blazer,0,16,4.0
oversized blazer,0,24,4.0
oversized blazer,0,15,3.0
oversized blazer,0,20,4.0
oversized blazer,1,24,1.0
oversized blazer,1,48,2.0
oversized blazer,1,35,2.0
oversized blazer,1,45,2.0
oversized blazer,1,25,1.0
oversized blazer,1,27,2.0
oversized blazer,1,38,2.0
oversized blazer,1,38,2.0
oversized blazer,1,10,3.0
oversized blazer,1,50,1.0
oversized blazer,1,11,3.0
oversized blazer,1,36,2.0
oversized blazer,1,17,3.0
oversized blazer,1,13,3.0
oversized blazer,1,52,3.0
oversized blazer,1,37,2.0
oversized blazer,1,13,3.0
oversized blazer,1,40,2.0
oversized blazer,1,41,3.0
oversized blazer,1,17,3.0
oversized blazer,1,50,3.0
oversized blazer,1,51,3.0
oversized blazer,1,12,3.0
oversized blazer,1,40,2.0
oversized blazer,1,9,2.0
oversized blazer,1,10,3.0
oversized blazer,1,42,3.0
oversized blazer,1,50,2.0
oversized blazer,1,24,2.0
oversized blazer,1,15,2.0
oversized blazer,1,13,2.0
oversized blazer,1,22,2.0
oversized blazer,1,35,1.0
oversized blazer,1,49,3.0
oversized blazer,1,41,3.0
oversized blazer,1,48,3.0
oversized blazer,1,41,2.0
oversized blazer,1,20,3.0
oversized blazer,1,51,3.0
oversized blazer,1,33,3.0
oversized blazer,2,51,4.0
oversized blazer,2,52,5.0
oversized blazer,2,19,5.0
oversized blazer,2,12,5.0
oversized blazer,2,44,3.0
oversized blazer,2,16,5.0
oversized blazer,2,40,5.0
oversized blazer,2,10,5.0
oversized blazer,2,9,5.0
oversized blazer,2,21,5.0
oversized blazer,2,19,5.0
oversized blazer,2,5,5.0
oversized blazer,2,50,5.0
oversized blazer,2,16,5.0
oversized blazer,2,6,5.0
oversized blazer,2,12,5.0
oversized blazer,2,4,4.0
oversized blazer,2,26,5.0
oversized blazer,2,40,4.0
oversized blazer,2,32,5.0
oversized blazer,2,19,5.0
oversized blazer,2,39,5.0
oversized blazer,2,20,5.0
oversized blazer,2,1,5.0
oversized blazer,2,19,4.0
oversized blazer,2,6,5.0
oversized blazer,2,8,5.0
oversized blazer,2,7,5.0
oversized blazer,2,15,5.0
oversized blazer,2,16,4.0
oversized blazer,2,27,5.0
oversized blazer,2,49,5.0
oversized blazer,2,28,5.0
oversized blazer,2,43,4.0
oversized blazer,2,51,5.0
oversized blazer,2,25,5.0
oversized blazer,2,6,5.0
oversized blazer,2,3,5.0
oversized blazer,2,43,5.0
oversized blazer,2,30,5.0
oversized blazer,3,51,5.0
oversized blazer,3,45,5.0
oversized blazer,3,24,5.0
oversized blazer,3,43,4.0
oversized blazer,3,18,5.0
oversized blazer,3,2,5.0
oversized blazer,3,11,5.0
oversized blazer,3,3,5.0
oversized blazer,3,16,5.0
oversized blazer,3,26,5.0
oversized blazer,3,17,5.0
oversized blazer,3,26,5.0
oversized blazer,3,25,5.0
oversized blazer,3,13,5.0
oversized blazer,3,45,5.0
oversized blazer,3,21,5.0
oversized blazer,3,11,5.0
oversized blazer,3,28,5.0
oversized blazer,3,29,5.0
oversized blazer,3,30,5.0
oversized blazer,3,37,5.0
oversized blazer,3,21,5.0
oversized blazer,3,10,5.0
oversized blazer,3,49,5.0
oversized blazer,3,32,5.0
oversized blazer,3,7,5.0
oversized blazer,3,11,5.0
oversized blazer,3,20,5.0
oversized blazer,3,30,5.0
oversized blazer,3,52,5.0
oversized blazer,3,12,5.0
oversized blazer,3,36,5.0
oversized blazer,3,49,4.0
oversized blazer,3,19,5.0
oversized blazer,3,36,5.0
oversized blazer,3,9,5.0
oversized blazer,3,21,5.0
oversized blazer,3,15,5.0
oversized blazer,3,19,5.0
oversized blazer,3,15,5.0
oversized blazer,4,40,1.0
oversized blazer,4,11,2.0
oversized blazer,4,30,1.0
oversized blazer,4,49,2.0
oversized blazer,4,19,2.0
oversized blazer,4,38,1.0
oversized blazer,4,40,2.0
oversized blazer,4,45,2.0
oversized blazer,4,23,1.0
oversized blazer,4,34,2.0
oversized blazer,4,28,2.0
oversized blazer,4,21,1.0
oversized blazer,4,9,1.0
oversized blazer,4,20,2.0
oversized blazer,4,18,1.0
oversized blazer,4,10,3.0
oversized blazer,4,2,2.0
oversized blazer,4,24,1.0
oversized blazer,4,31,1.0
oversized blazer,4,49,1.0
oversized blazer,4,29,1.0
oversized blazer,4,17,1.0
oversized blazer,4,1,1.0
oversized blazer,4,4,1.0
oversized blazer,4,11,2.0
oversized blazer,4,19,1.0
oversized blazer,4,8,1.0
oversized blazer,4,47,1.0
oversized blazer,4,2,2.0
oversized blazer,4,31,1.0
oversized blazer,4,38,1.0
oversized blazer,4,14,2.0
